epoch,train_loss,val_loss,lr,time,tr_R2,va_R2,tr_RMSE,va_RMSE,tr_MAE,va_MAE
1,0.14120204650362334,0.05704676497975985,0.001,66.50812411308289,0.886925995349884,0.8849120736122131,0.3362647946198004,0.33793342187000075,0.2640206217765808,0.2647477090358734
2,0.054925644546747206,0.05599739079674085,0.001,61.51645636558533,0.8914893865585327,0.8870288133621216,0.32940953726901967,0.33481130789038427,0.258257120847702,0.263357549905777
3,0.053426156808932625,0.05149286103248596,0.001,65.91644930839539,0.8995090126991272,0.8961783647537231,0.3170031697832288,0.32096679665215583,0.253997266292572,0.2585810720920563
4,0.05234239814678828,0.053582923233509064,0.001,64.13979887962341,0.8967105150222778,0.8919441103935242,0.3213868035983145,0.32744656543666273,0.25441789627075195,0.2610425651073456
5,0.05215376866857211,0.055098532527685165,0.001,65.76805758476257,0.8918228149414062,0.8888565897941589,0.3289030478133581,0.33209178597108285,0.25916868448257446,0.2612822651863098
6,0.05219480854272843,0.05125552648305893,0.001,65.16889071464539,0.9002069234848022,0.8966391086578369,0.31590044541969065,0.32025386692350943,0.25109437108039856,0.2559814453125
7,0.05205794259905815,0.05303529183069865,0.001,66.02588129043579,0.8973190784454346,0.8930405378341675,0.32043868579946433,0.3257810798479912,0.2532903850078583,0.25935304164886475
8,0.051779204825560254,0.0510947213669618,0.001,65.06220817565918,0.8997186422348022,0.896960973739624,0.3166722957002026,0.3197548477999875,0.2519547641277313,0.25524580478668213
9,0.05137420983115832,0.051282408366600675,0.001,65.29214000701904,0.8993536829948425,0.8965781331062317,0.3172480605241247,0.32034830730613817,0.24861402809619904,0.2527698874473572
10,0.050908226013183594,0.05335609604914983,0.001,65.74341440200806,0.8977144956588745,0.8924159407615662,0.31982109708936945,0.32673090010480754,0.2547696828842163,0.2623511254787445
11,0.05144072784980138,0.051164641588926314,0.001,63.984703540802,0.9004688858985901,0.8968154191970825,0.31548552122309814,0.3199805656507003,0.24940074980258942,0.25442004203796387
12,0.051597521563371024,0.054765915632247926,0.001,64.7896842956543,0.8948403596878052,0.8895101547241211,0.3242832946874631,0.33111391691075875,0.2542477548122406,0.2605436444282532
13,0.05125090953707695,0.05241594781478246,0.001,63.51413321495056,0.8978732824325562,0.8942766189575195,0.3195727342383969,0.32389316526888373,0.2517615258693695,0.25648969411849976
14,0.05125611575444539,0.05173455037673314,0.001,65.93755674362183,0.8995054364204407,0.8956555128097534,0.3170087869920011,0.3217740094905021,0.24945825338363647,0.25480371713638306
15,0.05106532996892929,0.05165120893716812,0.001,62.25598168373108,0.8995707035064697,0.8958245515823364,0.31690585170563207,0.32151332089902307,0.2481403648853302,0.25338655710220337
16,0.051340775807698566,0.051723787407080335,0.001,65.62343788146973,0.8978681564331055,0.8956778049468994,0.31958071924994774,0.3217396229239117,0.25245001912117004,0.25546884536743164
17,0.050739493976036706,0.05631400022904078,0.001,63.44710087776184,0.8895113468170166,0.8864332437515259,0.3323983463159286,0.3356926602443004,0.26646754145622253,0.26985931396484375
18,0.05056799721717835,0.05499097027381261,0.001,65.93044543266296,0.8919413685798645,0.8890329003334045,0.3287227612622486,0.33182821236745913,0.25587961077690125,0.25941410660743713
