epoch,train_loss,val_loss,lr,time,tr_R2,va_R2,tr_RMSE,va_RMSE,tr_MAE,va_MAE
1,0.08577749919891357,0.05296132090687752,0.001,25.206591844558716,0.8963358402252197,0.8931612968444824,0.3219692254339257,0.32559709672849,0.2524716258049011,0.2568507194519043
2,0.05392017481724421,0.05718548492590586,0.001,24.626416206359863,0.8908984661102295,0.8846356868743896,0.3303052583476274,0.3383389624157121,0.2601257860660553,0.2677587866783142
3,0.05263996502757073,0.05147557557622592,0.001,23.883294582366943,0.8988233804702759,0.8961865901947021,0.3180827829082032,0.32095409892689225,0.24921917915344238,0.25339198112487793
4,0.052872275094191235,0.05042608278989792,0.001,24.21379780769348,0.9006475806236267,0.898324728012085,0.3152021880894441,0.31763173832026687,0.25043177604675293,0.25412821769714355
5,0.052964356362819674,0.05260486950476964,0.001,24.71217441558838,0.8980357050895691,0.8938621282577515,0.3193185200738797,0.32452747858874603,0.25088056921958923,0.2563932538032532
6,0.052039472341537475,0.05262067892154058,0.001,25.184518098831177,0.8987212181091309,0.8938958644866943,0.31824332152174306,0.32447586435481646,0.2519426643848419,0.2592047154903412
7,0.051649322837591174,0.053087008883555734,0.001,24.6047785282135,0.8952785134315491,0.8929600119590759,0.3236070400513149,0.3259036966096353,0.25946810841560364,0.2629750669002533
8,0.05143240558107694,0.05061257513364156,0.001,21.319703340530396,0.9021487236022949,0.897962212562561,0.31281188659912695,0.31819751345872543,0.24757374823093414,0.2537783682346344
9,0.05098834712306658,0.054119648039340974,0.001,24.681523084640503,0.893598735332489,0.8908252120018005,0.3261921014053724,0.3291375115114004,0.25518685579299927,0.25896868109703064
10,0.05152869614958763,0.051006255239248274,0.001,23.260217666625977,0.8991541266441345,0.8971536159515381,0.3175623811242208,0.3194557688382802,0.25007861852645874,0.2528376579284668
11,0.050809796373049415,0.05252501314878464,0.001,22.975402355194092,0.8968883752822876,0.8940614461898804,0.3211100349102077,0.32422256467482435,0.2512381672859192,0.2552573084831238
12,0.05118138056993485,0.060169098526239397,0.001,22.568443536758423,0.8840200304985046,0.8785746097564697,0.3405583202646727,0.3471130456414825,0.2662438750267029,0.272459477186203
13,0.05072286836306254,0.05384199009339015,0.001,21.814648866653442,0.8952595591545105,0.8913776874542236,0.3236362901407537,0.32830369715542035,0.2523983120918274,0.25807854533195496
14,0.05070611570278803,0.052314106146494545,0.001,24.78948140144348,0.8999539613723755,0.8945164084434509,0.3163005982130715,0.32352563007491764,0.25016292929649353,0.25803378224372864
15,0.05079639105002085,0.051935556252797443,0.0001,24.73540234565735,0.8986606001853943,0.8952360153198242,0.31833849879429554,0.3224202449823008,0.24892431497573853,0.2544953525066376
16,0.049128520160913465,0.050161074926455815,0.0001,23.668210983276367,0.9026420712471008,0.8988654017448425,0.3120223567384891,0.31678610241279903,0.24564504623413086,0.25138118863105774
17,0.04903110031286875,0.05031232057015101,0.0001,24.12539005279541,0.9027220010757446,0.8985616564750671,0.3118942349986876,0.31726141148342857,0.24553613364696503,0.25182902812957764
18,0.04876221374670665,0.05029347796241442,0.0001,21.75023579597473,0.9028323292732239,0.898600161075592,0.3117173168560536,0.3172011926824304,0.24527022242546082,0.25174248218536377
19,0.04878198951482773,0.050020378559827806,0.0001,21.177035331726074,0.903147280216217,0.8991513252258301,0.31121173200174307,0.3163379901677036,0.24550044536590576,0.25159215927124023
20,0.04898320428530375,0.05045804239312808,0.0001,24.616051197052002,0.9023286700248718,0.8982644081115723,0.31252413894883185,0.31772596148796334,0.2453838735818863,0.2515407204627991
21,0.04876735291878383,0.05057913987835248,0.0001,24.151529788970947,0.9029470086097717,0.8980254530906677,0.3115333148980851,0.3180988977999271,0.24573014676570892,0.2533142566680908
22,0.04885039754708608,0.05018882756431897,0.0001,24.82304835319519,0.902819037437439,0.8988078832626343,0.31173862451281464,0.3168761566900928,0.24511775374412537,0.2511052191257477
23,0.04879866470893224,0.05096315573652585,0.0001,23.697571277618408,0.9021426439285278,0.8972418308258057,0.3128216161361819,0.31931870673586016,0.24580873548984528,0.25317659974098206
24,0.04868280334273974,0.050256462971369424,0.0001,18.64146590232849,0.903223991394043,0.8986716866493225,0.31108841372731394,0.3170893207119269,0.24502988159656525,0.2520346939563751
25,0.04875557549794515,0.05032736889521281,0.0001,24.174337148666382,0.9034147262573242,0.8985324501991272,0.31078169000363354,0.3173071316206142,0.24488931894302368,0.2523009479045868
26,0.04877555666367213,0.050603488604227705,0.0001,24.328797817230225,0.9028642177581787,0.8979701995849609,0.31166617492689686,0.3181850096268494,0.24502038955688477,0.2522607445716858
27,0.048885429322719574,0.051868735005458196,0.0001,18.25875234603882,0.9006146192550659,0.8954092860221863,0.31525452890931965,0.32215344181477973,0.24717944860458374,0.25470370054244995
28,0.04871205201745033,0.0508259214758873,0.0001,24.906583070755005,0.9019222259521484,0.89751797914505,0.3131737717318526,0.3188893639945509,0.24554884433746338,0.25190412998199463
29,0.04880156353116036,0.05024455633759499,0.0001,24.027122259140015,0.9037536382675171,0.8987011909484863,0.31023597749533,0.31704321666184393,0.24487584829330444,0.25251317024230957
30,0.048777960032224656,0.05014857949813207,1e-05,25.265151500701904,0.9038923978805542,0.8988945484161377,0.3100122612404964,0.3167404482032807,0.24509969353675842,0.2526037096977234
