epoch,train_loss,val_loss,lr,tr_R2,va_R2,tr_RMSE,va_RMSE,tr_MAE,va_MAE
1,0.35097709329002547,0.20932562508937777,0.001,0.5576484799385071,0.5369724035263062,0.6650951434673202,0.6654383151315508,0.5237230062484741,0.5277043581008911
2,0.20004878911071053,0.2091504861106681,0.001,0.5813953876495361,0.5326053500175476,0.6469966092264038,0.6685689939661552,0.5027419328689575,0.5204677581787109
3,0.18334601558534439,0.1879889348805961,0.001,0.6390360593795776,0.5865229964256287,0.6008027716503518,0.628825354260172,0.4698869585990906,0.49238231778144836
4,0.16984906590591042,0.18111009763908026,0.001,0.6524118185043335,0.6012077927589417,0.5895661212264396,0.6175579214923358,0.4566592276096344,0.47869187593460083
5,0.16664037697732786,0.16855702756413557,0.001,0.678992509841919,0.6325878500938416,0.5665752290367811,0.5927630302609112,0.4403323829174042,0.4644247889518738
6,0.16589884380462105,0.1751561957339558,0.001,0.6663233041763306,0.6167266368865967,0.5776475532915113,0.60542267654842,0.45003029704093933,0.47283345460891724
7,0.16220522583541225,0.17152430444525535,0.001,0.6862631440162659,0.6267496347427368,0.5601222061176083,0.5974540368361575,0.4360402822494507,0.468337744474411
8,0.1577268399050306,0.17822854672672608,0.001,0.6716691851615906,0.6081178188323975,0.5730015836264412,0.6121842115235034,0.44307470321655273,0.4734005630016327
9,0.1574399253050636,0.17940103833733753,0.001,0.6590403914451599,0.6055737733840942,0.5839174927651701,0.6141681211455198,0.45159482955932617,0.47856271266937256
10,0.15586435936077989,0.17380681268202008,0.001,0.6890662908554077,0.6177022457122803,0.5576143548629617,0.6046516811989411,0.4288806617259979,0.46634161472320557
11,0.1550983101204365,0.16780771066745123,0.001,0.6939994096755981,0.6365371942520142,0.5531732010179107,0.5895685728761841,0.4350811243057251,0.4652749300003052
12,0.1572099344083444,0.16824132044099818,0.001,0.6965989470481873,0.6338604688644409,0.5508185570168593,0.5917355848747597,0.4290043115615845,0.45989641547203064
