epoch,train_loss,val_loss,lr,time,tr_R2,va_R2,tr_RMSE,va_RMSE,tr_MAE,va_MAE
1,0.28588114169993945,0.23194468684602068,0.001,54.08547568321228,0.5104692578315735,0.4786369204521179,0.6996647568448399,0.7061135041997265,0.552179217338562,0.5501602292060852
2,0.19814960990622593,0.18453918838007077,0.001,50.30316090583801,0.6170467138290405,0.5918529033660889,0.6188322436457269,0.6247593177857702,0.4862655997276306,0.4899945557117462
3,0.1912402790145012,0.18729057555406706,0.001,54.52160358428955,0.6169771552085876,0.5824244022369385,0.6188884185325613,0.631934298327906,0.4856043756008148,0.49610546231269836
4,0.18838126843295902,0.18155616515287423,0.001,47.529505491256714,0.6284620761871338,0.5975300073623657,0.6095391076976655,0.620399038586588,0.47268739342689514,0.4804752767086029
5,0.18747226452385937,0.19428215702973442,0.001,48.78375053405762,0.6027326583862305,0.5656124353408813,0.6302914971789576,0.6445298859552919,0.4910098910331726,0.5037844181060791
6,0.1789204148342979,0.20548818693060733,0.001,50.70651173591614,0.5799056887626648,0.5391539335250854,0.6481468514462271,0.6638688646628105,0.5115229487419128,0.5113653540611267
7,0.18074057700681895,0.20481158714397704,0.001,51.435184717178345,0.5797417163848877,0.5435214042663574,0.6482733553214701,0.6607156223298328,0.512663722038269,0.5260657668113708
8,0.17514465719330483,0.17586649118993392,0.001,50.466150760650635,0.647146463394165,0.6120110154151917,0.5940148114403206,0.6091357030274607,0.4598202705383301,0.47814252972602844
9,0.17627938399506454,0.17359436413288415,0.001,46.923137187957764,0.6534709930419922,0.6190985441207886,0.5886671444526251,0.6035464380786953,0.46139436960220337,0.4764067232608795
10,0.16940194468451833,0.17441228373538603,0.001,50.127765417099,0.6466418504714966,0.615233302116394,0.5944393573178878,0.6066009763987122,0.4606350362300873,0.47424784302711487
11,0.16954710820487515,0.18338138472150872,0.001,50.382044553756714,0.6364595890045166,0.5912942886352539,0.602943148893663,0.6251867015451787,0.46863114833831787,0.47824856638908386
12,0.17086132402997756,0.17983447698138452,0.001,49.850144386291504,0.6428354978561401,0.6031595468521118,0.5976324637672427,0.6160448337129938,0.4650645852088928,0.4830719828605652
13,0.17013441867148885,0.17440451718095107,0.001,43.250683069229126,0.6540782451629639,0.6181696653366089,0.5881511833208201,0.6042818803659168,0.465178519487381,0.4754623472690582
14,0.1677891241160864,0.17113878222022202,0.001,50.033543825149536,0.6661314964294434,0.6233868598937988,0.5778136059104194,0.6001393712616716,0.44679340720176697,0.46569544076919556
15,0.16534705249603185,0.16837144318947012,0.001,51.865718126297,0.6697916984558105,0.6324123740196228,0.5746375911379573,0.5929045681401545,0.4523622989654541,0.4691459536552429
16,0.1662798243184847,0.16813823482523305,0.001,50.76411294937134,0.6733835935592651,0.6309930086135864,0.5715036624931263,0.5940481491402301,0.44559770822525024,0.46180984377861023
17,0.16504147888277584,0.17048772839316018,0.001,51.30732345581055,0.6719779968261719,0.6252219676971436,0.572732051812912,0.5986754011776878,0.44632792472839355,0.46809619665145874
18,0.16339925370235825,0.17580561832818908,0.001,49.621421813964844,0.6611748337745667,0.6110119819641113,0.5820869316758072,0.6099194515312542,0.45082971453666687,0.4747655689716339
19,0.16271110893942167,0.17136177137185402,0.001,50.53631281852722,0.6767381429672241,0.6239085793495178,0.5685612428183073,0.5997235068384574,0.44546782970428467,0.47066834568977356
20,0.16335909030232426,0.18293133232104128,0.001,49.151628494262695,0.656963586807251,0.5964230298995972,0.5856931303977121,0.6212516200161541,0.4613070785999298,0.4839994013309479
21,0.16075310158752004,0.20478973554988664,0.001,50.926294803619385,0.6049596071243286,0.5473935604095459,0.6285224359402902,0.657907368576352,0.49841123819351196,0.5153059363365173
22,0.16253098240268357,0.17233082993518462,0.001,50.996960401535034,0.6750573515892029,0.6214314103126526,0.5700374357997197,0.6016953556938408,0.4466490149497986,0.4687354862689972
23,0.1606588970731806,0.17265248575527864,0.001,51.245386838912964,0.6787331104278564,0.6188696622848511,0.5668041541633126,0.6037277293392244,0.44127222895622253,0.4700460433959961
24,0.1577553399800506,0.16680189673435142,0.001,49.819268226623535,0.6933640837669373,0.6348538398742676,0.5537471860293153,0.5909323341793405,0.434993177652359,0.46375006437301636
25,0.15951142237011323,0.17743468776635232,0.001,48.018728256225586,0.67741858959198,0.6076493859291077,0.5679625341607863,0.6125499714688288,0.4418143033981323,0.47231945395469666
26,0.1611539586508566,0.17285811842161383,0.001,50.1621618270874,0.6868314743041992,0.6178109645843506,0.5596146757371947,0.6045656421508342,0.44131746888160706,0.471658855676651
27,0.15713936933278289,0.173871396419318,0.001,50.592342138290405,0.691390872001648,0.6159143447875977,0.5555260190132182,0.6060638702414853,0.4305763244628906,0.46939295530319214
28,0.15710367048153395,0.17002674934441986,0.001,51.05957555770874,0.7027446031570435,0.6235979795455933,0.5452113869386821,0.599971127808812,0.42440974712371826,0.4641770124435425
29,0.15452276128160078,0.17187248659597876,0.001,45.93699812889099,0.693086564540863,0.6207782030105591,0.5539977123251136,0.6022141877591903,0.43205082416534424,0.4683355391025543
30,0.1571750845912112,0.17333661598823988,0.001,54.0226571559906,0.6949074864387512,0.6166074872016907,0.55235180235177,0.6055167640598739,0.42931661009788513,0.4670298993587494
31,0.15787098167156619,0.16861991518821945,0.001,47.815391302108765,0.7033888101577759,0.6298705339431763,0.5446202526940643,0.5949509671788217,0.4257645010948181,0.4666416347026825
32,0.15269477474599683,0.17579364598882474,0.001,51.64030456542969,0.6920344829559326,0.6123626232147217,0.5549464091640448,0.6088596512346509,0.43241703510284424,0.47076794505119324
33,0.15207077293409466,0.17107098024368886,0.001,52.11846923828125,0.7077544927597046,0.6200696229934692,0.5405973339168193,0.6027766026892197,0.42288780212402344,0.4657747149467468
34,0.15359823440353002,0.1734156726069669,0.001,57.340116024017334,0.7071987986564636,0.6145755052566528,0.5411111079490596,0.607119273280655,0.4190036356449127,0.46531134843826294
35,0.14927762440930203,0.17133791493082376,0.0001,55.970152854919434,0.7106977701187134,0.6207493543624878,0.5378682272464945,0.6022371497123348,0.41949179768562317,0.46612492203712463
36,0.14204916519820876,0.1683416448145338,0.0001,56.263001441955566,0.7236952781677246,0.628034234046936,0.5256469555055707,0.5964250036643607,0.4073837399482727,0.45972082018852234
37,0.13963789784227312,0.16894107024323918,0.0001,56.545509576797485,0.727075457572937,0.6261619329452515,0.5224218621303168,0.5979241911207539,0.4053894281387329,0.4600163400173187
38,0.13827019458436696,0.16934062830509813,0.0001,56.10261559486389,0.7290294170379639,0.6249656677246094,0.5205483483424341,0.5988801379921938,0.40451350808143616,0.4606509208679199
39,0.1377451395135366,0.17016928098108958,0.0001,54.75033164024353,0.7299933433532715,0.6231109499931335,0.5196216189155395,0.600359146593481,0.40345776081085205,0.46038109064102173
