epoch,train_loss,val_loss,lr,tr_R2,va_R2,tr_RMSE,va_RMSE,tr_MAE,va_MAE
1,0.3084849926262477,0.2122574809468623,0.001,0.5632816553115845,0.5291125774383545,0.6608467553793259,0.6710623994727538,0.5204995274543762,0.5296533703804016
2,0.18872116323693772,0.18143139064910646,0.001,0.640436053276062,0.6004194021224976,0.5996365370174339,0.6181680398966756,0.470760315656662,0.4847277104854584
3,0.1789895277107877,0.18194924245371583,0.001,0.6403794288635254,0.6015791893005371,0.5996837756193837,0.6172702830363028,0.47375795245170593,0.48567333817481995
4,0.17122621811828145,0.1712357069775509,0.001,0.665969729423523,0.6254583597183228,0.5779535451736579,0.5984865790976058,0.4495639503002167,0.4682861268520355
5,0.16576049935683018,0.17053679256639762,0.001,0.6680935621261597,0.6298435926437378,0.5761132679243597,0.5949726566475161,0.4525396227836609,0.47166895866394043
6,0.16410640121553952,0.17562311625824883,0.001,0.6635951995849609,0.6162176728248596,0.5800041125825891,0.6058245198143507,0.45305755734443665,0.4743798077106476
7,0.15887807549093777,0.20217902442044008,0.001,0.6064894199371338,0.5548715591430664,0.6273042165192788,0.6524496849070407,0.49363070726394653,0.5123109221458435
8,0.15707002455755667,0.17875294770860703,0.001,0.6598085165023804,0.6076034307479858,0.5832593621174199,0.6125858762445534,0.452798068523407,0.4765123128890991
9,0.15970447531340637,0.17225576173899987,0.001,0.6768975853919983,0.6218684911727905,0.5684210098248692,0.6013478726057034,0.44110602140426636,0.4670790135860443
10,0.15515894849234532,0.16668575103187142,0.001,0.6838938593864441,0.635492205619812,0.5622331728149416,0.5904155511201681,0.4369804859161377,0.4608430862426758
11,0.15233409090455194,0.18132713473561568,0.001,0.6776870489120483,0.6001501083374023,0.5677261495565217,0.6183763233014119,0.4376574754714966,0.4784468114376068
12,0.15362959770907864,0.16045353479790972,0.001,0.7116668224334717,0.649716854095459,0.5369666724936015,0.5787806015492977,0.41789257526397705,0.4498765468597412
13,0.15033170357299763,0.16363606679125245,0.001,0.7064483165740967,0.6401336193084717,0.5418041556047241,0.5866444963588328,0.4200257956981659,0.45164620876312256
14,0.1494033261806203,0.16720553654510872,0.001,0.7064533233642578,0.6308861970901489,0.5417995351053625,0.5941341562815593,0.41865625977516174,0.4582176208496094
15,0.1441048232175536,0.1646894678632493,0.001,0.7150892615318298,0.6386950016021729,0.5337703049703778,0.587815897808567,0.4119555354118347,0.4545963704586029
16,0.1464108347013471,0.16400554829510366,0.001,0.7160820960998535,0.6415796279907227,0.5328394729185766,0.5854646682291551,0.41881129145622253,0.45759814977645874
17,0.14500602965675205,0.16778832529037163,0.001,0.7164308428764343,0.6309616565704346,0.5325121472097026,0.5940734082885527,0.41299566626548767,0.45993825793266296
18,0.14393960198589786,0.16987064523810647,0.001,0.7211814522743225,0.6263666152954102,0.5280327146358239,0.5977604843697562,0.4075116217136383,0.4601289927959442
19,0.13811516105118443,0.1619283181322272,0.001,0.7300565242767334,0.6475182771682739,0.5195608202327656,0.5805942025039399,0.4052286148071289,0.4522637724876404
20,0.1404694126075869,0.1714367786257505,0.001,0.6983813047409058,0.6261746287345886,0.549198229475564,0.5979140230667563,0.42987459897994995,0.4680812656879425
21,0.13665645544774413,0.174014771080062,0.001,0.7169045209884644,0.6186602115631104,0.5320672032871957,0.6038935690827821,0.4160405993461609,0.4686425030231476
