epoch,train_loss,val_loss,lr,time,tr_R2,va_R2,tr_RMSE,va_RMSE,tr_MAE,va_MAE
1,0.3665459404856771,0.20987868946974036,0.001,92.86008930206299,0.5637332201004028,0.5333888530731201,0.6605049882508397,0.6680084127507436,0.5157591700553894,0.5225741863250732
2,0.19308162944090868,0.18514214725480915,0.001,85.66883778572083,0.6259320974349976,0.5923810005187988,0.6116109565480716,0.6243549594584112,0.475805401802063,0.4863387644290924
3,0.18082952671038305,0.1820525665535391,0.001,93.16042518615723,0.6454398036003113,0.594879686832428,0.5954496000519365,0.6224384027285502,0.46214357018470764,0.4816708266735077
4,0.1713385249991426,0.17794896440541902,0.001,89.46702313423157,0.6555442810058594,0.6052265167236328,0.5869035259703788,0.6144383685164356,0.4563722312450409,0.4771716296672821
5,0.16597562304324348,0.173600533251035,0.001,91.8131742477417,0.6615498661994934,0.6172967553138733,0.581764697796995,0.6049722173711533,0.4519319236278534,0.47187888622283936
6,0.1658384411198795,0.16763538534695147,0.001,82.5442202091217,0.6778198480606079,0.634488582611084,0.567609180459332,0.5912277960287622,0.4444234073162079,0.4634372889995575
7,0.15911601015178947,0.17045300839759986,0.001,105.71794819831848,0.682233452796936,0.6246382594108582,0.5637078562545177,0.5991414384566548,0.4342186748981476,0.46419665217399597
8,0.16018458031590302,0.1699604483348202,0.001,85.80507206916809,0.6763114333152771,0.6314531564712524,0.5689363729689334,0.5936776669261516,0.4485127627849579,0.4717966318130493
9,0.15686044251290193,0.18219606525966825,0.001,84.114670753479,0.6614408493041992,0.5931396484375,0.5818583596510415,0.6237736830486745,0.4447021484375,0.47777310013771057
10,0.15242479690125507,0.17602296625377992,0.001,87.62515473365784,0.690995991230011,0.6108616590499878,0.5558813169844004,0.6100372725965699,0.42781341075897217,0.4701648950576782
11,0.15083595834396504,0.16287015352283568,0.001,79.40359306335449,0.7087224125862122,0.6429845094680786,0.5397013872631679,0.5843161211594222,0.4184117913246155,0.4514003098011017
12,0.15086813488061968,0.1960761936314811,0.001,86.02515316009521,0.6389756202697754,0.5632660984992981,0.6008530929727077,0.646268249527049,0.46449944376945496,0.49531280994415283
13,0.15050753455302734,0.16493761926721046,0.001,90.24899220466614,0.7016689777374268,0.6390366554260254,0.5461968713408868,0.5875379702289888,0.42343857884407043,0.45679914951324463
14,0.14524940880715884,0.17139330427749908,0.001,92.89661407470703,0.7109854817390442,0.6232885718345642,0.5376007052273609,0.6002176287468742,0.41602903604507446,0.46450090408325195
15,0.14665976623207685,0.1668314117159547,0.001,86.32577562332153,0.7182453274726868,0.6348267793655396,0.5308057105284716,0.590954171141749,0.4104773998260498,0.45749208331108093
16,0.1447683944503092,0.17429192747736008,0.001,96.35911154747009,0.6995172500610352,0.6194055676460266,0.5481630687477631,0.6033031250001897,0.4284815788269043,0.4704238176345825
17,0.14369371332279632,0.16259341602308977,0.001,82.60692477226257,0.7226709127426147,0.6449586153030396,0.5266204960519767,0.582698465190311,0.4124198853969574,0.4572763442993164
18,0.14285225532972357,0.16145303705093325,0.001,89.44964456558228,0.7298153042793274,0.6471672058105469,0.5197929640953165,0.5808831995661766,0.4042024612426758,0.4484903812408447
19,0.1405044760781867,0.15881165777896084,0.001,86.76970386505127,0.7318681478500366,0.6553525328636169,0.5178145246633062,0.5741057771371133,0.402769535779953,0.4491012692451477
20,0.13880951136668673,0.16376392098993756,0.001,89.45481538772583,0.7229126691818237,0.643657922744751,0.526390853661209,0.5837648419243503,0.4132748544216156,0.4568573832511902
21,0.1363030967477426,0.16767702917220528,0.001,85.18482947349548,0.7234429121017456,0.6286338567733765,0.5258869818702273,0.5959440900881315,0.40578362345695496,0.456930547952652
22,0.13410173627803404,0.1735773430219328,0.001,83.56179642677307,0.71026611328125,0.6192337870597839,0.5382693440265292,0.6034392768442554,0.4212241768836975,0.4692794382572174
23,0.1355586168306546,0.1717464190586812,0.001,83.0113935470581,0.7325224876403809,0.6201608180999756,0.5171823391844156,0.6027042650871579,0.39903873205184937,0.4606249928474426
24,0.13289767184761883,0.17319752415320594,0.001,83.69092893600464,0.7265924215316772,0.612796425819397,0.5228839338425356,0.6085188549023125,0.4054770767688751,0.4622665047645569
25,0.13359050663177577,0.16211155903504018,0.001,92.79515838623047,0.7446936368942261,0.6467547416687012,0.505278471046859,0.5812226381322066,0.3934776782989502,0.4534483850002289
26,0.13203939087384914,0.16799816506057136,0.001,85.97357702255249,0.7435771226882935,0.6292705535888672,0.5063821455301387,0.5954330082068579,0.38882705569267273,0.4571058452129364
27,0.13056031403605922,0.16601550573458554,0.001,88.3789587020874,0.7510305047035217,0.6350085735321045,0.49896846102614606,0.5908070712536743,0.38679787516593933,0.4561350643634796
28,0.12871102491079153,0.17009539139847,0.001,90.19246697425842,0.7376171350479126,0.629375696182251,0.5122332425315735,0.5953485402889719,0.3998774290084839,0.465432733297348
29,0.1299775791332846,0.16704322804614424,0.001,85.80662846565247,0.7532697916030884,0.6346626281738281,0.4967194313651827,0.5910870162898965,0.3871838450431824,0.45582976937294006
