epoch,train_loss,val_loss,lr,time,tr_R2,va_R2,tr_RMSE,va_RMSE,tr_MAE,va_MAE
1,0.2631491873990943,0.21029269477330284,0.001,19.105177402496338,0.5540980100631714,0.5278877019882202,0.6677589533200966,0.6719346130893825,0.5209101438522339,0.5159451961517334
2,0.21599961850004082,0.23748982947013397,0.001,17.17582392692566,0.5007257461547852,0.4626798629760742,0.706593456982061,0.7168378688305426,0.5611565113067627,0.5690045952796936
3,0.20727098987151898,0.19807112592986298,0.001,18.404432773590088,0.5930660963058472,0.5574566125869751,0.6379137117934939,0.6505524030303728,0.49845659732818604,0.5010347366333008
4,0.20935481973810907,0.2015463235762908,0.001,17.96714448928833,0.5832478404045105,0.5472211837768555,0.6455634665916372,0.6580325848068175,0.506989061832428,0.5074275732040405
5,0.19720291559118486,0.1975981418022328,0.001,19.04305911064148,0.5873627066612244,0.5567253828048706,0.6423685259577231,0.6510896334461925,0.4947183430194855,0.4973948299884796
6,0.19328963336559937,0.20966879697955038,0.001,19.005470037460327,0.567614734172821,0.531065046787262,0.6575601079973612,0.6696697238800433,0.5158244967460632,0.5246880054473877
7,0.19519680830119768,0.20023702983951988,0.001,18.52910017967224,0.5900253057479858,0.5531097054481506,0.6402926862414848,0.6537396463701202,0.4968661069869995,0.5013419389724731
8,0.1913431611026673,0.19848754986119735,0.001,17.22368597984314,0.596359133720398,0.5577458143234253,0.6353273928313846,0.650339783293712,0.4912819266319275,0.4983542263507843
9,0.1894883790707633,0.1909126346207084,0.001,18.76726722717285,0.6143091320991516,0.5752658843994141,0.6210401739848807,0.6373278974584907,0.4807630479335785,0.4882388114929199
10,0.18859277182940934,0.19273043551575217,0.001,18.11147165298462,0.6131716966629028,0.5682138204574585,0.6219552501100216,0.6425970706639631,0.48042407631874084,0.4903474450111389
11,0.19141028297635945,0.20724485849181737,0.001,18.7102108001709,0.5790727138519287,0.5343326926231384,0.6487890921925794,0.6673324409657373,0.5064716935157776,0.5155614614486694
12,0.19350063456579042,0.18964415185307829,0.001,19.283012866973877,0.6188321709632874,0.5804096460342407,0.6173879322104012,0.6334569734008714,0.4836745262145996,0.49170413613319397
13,0.18773826334697977,0.19149087011178034,0.001,19.050962686538696,0.6177970170974731,0.5761487483978271,0.6182257213244784,0.6366651781632298,0.4814612567424774,0.49363085627555847
14,0.1869695855997975,0.18716143262476123,0.001,16.240034341812134,0.6266344785690308,0.5868672132492065,0.6110364809367883,0.6285635920986684,0.47970497608184814,0.4886438846588135
15,0.18554132978495605,0.1901122653214945,0.001,18.768659114837646,0.6193104982376099,0.5802065134048462,0.6170004066144448,0.6336102813934724,0.4823867678642273,0.4931481182575226
16,0.18412259198627004,0.18874624423911868,0.001,18.474486112594604,0.6269841194152832,0.5847880840301514,0.6107502848030766,0.6301432226505326,0.4757542014122009,0.489559531211853
17,0.18348965743803333,0.19153556605591687,0.001,16.817433834075928,0.6215728521347046,0.5758246183395386,0.6151643743504172,0.6369085906494698,0.4774590730667114,0.49036601185798645
18,0.1824028636869663,0.19416426227890465,0.001,16.01357340812683,0.6205265522003174,0.5654109716415405,0.6160141620122728,0.6446793357195328,0.477953165769577,0.49188661575317383
19,0.18498674730085682,0.195954202679591,0.001,18.603065490722656,0.6100642681121826,0.5687673091888428,0.6244483659119782,0.6421850793797521,0.49422192573547363,0.5038055777549744
20,0.1847577218600062,0.18912782471881898,0.001,16.895017623901367,0.6348506212234497,0.5823109149932861,0.6042759127886451,0.6320201481432349,0.4723728895187378,0.4905616343021393
21,0.18031886314455248,0.194360936335326,0.001,18.456169366836548,0.6296526789665222,0.565129816532135,0.6085617066787888,0.6448878140064653,0.47206228971481323,0.4921039044857025
22,0.18087833822334778,0.18900570505382278,0.001,14.751635789871216,0.6398559808731079,0.5816224813461304,0.6001200287685909,0.6325407739923674,0.46542227268218994,0.4875592589378357
23,0.1828181812187747,0.18927154662432494,0.001,18.796273946762085,0.635195255279541,0.5808355808258057,0.6039907319860991,0.6331353482514421,0.47210052609443665,0.48874393105506897
24,0.17962132041662351,0.18982873270516118,0.001,18.231578826904297,0.6416522264480591,0.5783624649047852,0.5986215612153817,0.6350004026081281,0.46415361762046814,0.4882867634296417
25,0.18134025110625204,0.19078138794303315,0.0001,18.315171718597412,0.6375329494476318,0.5759329199790955,0.6020523652909007,0.6368272606998496,0.46588191390037537,0.4897611439228058
26,0.17199435172519517,0.18668742212235964,0.0001,18.857385635375977,0.6502025127410889,0.5855097770690918,0.5914368494298913,0.6295953612206371,0.45775994658470154,0.4826265275478363
27,0.16970678003082768,0.18692473034512974,0.0001,18.735370874404907,0.6531941890716553,0.5857216119766235,0.5889022082895807,0.6294344230184988,0.45701807737350464,0.4837546944618225
28,0.16790161492760197,0.18505322907940816,0.0001,18.770444869995117,0.6562925577163696,0.5897883176803589,0.5862657009291544,0.6263374323924792,0.4543590247631073,0.48206791281700134
29,0.16843135255504088,0.18635382630019837,0.0001,19.50242519378662,0.6580847501754761,0.5875425338745117,0.5847352472950205,0.6280495631529014,0.45337626338005066,0.4838283658027649
30,0.1677646284124347,0.18529649021785663,0.0001,18.406558513641357,0.6601719856262207,0.5906776785850525,0.5829477454956182,0.6256581179363881,0.45236459374427795,0.48330116271972656
31,0.16683489253553893,0.18612029708861108,0.0001,18.169569969177246,0.6616979837417603,0.589781641960144,0.5816373836511561,0.626342571216135,0.4528466761112213,0.485632061958313
32,0.1669023360329758,0.1869952806271028,0.0001,18.417749881744385,0.6616424322128296,0.5863869190216064,0.5816851105084008,0.6289288060662952,0.45159465074539185,0.48595643043518066
33,0.16676899235127335,0.18731422017036709,0.0001,18.453017950057983,0.662807822227478,0.5859016180038452,0.580682510303627,0.6292976677745749,0.45170915126800537,0.4864930212497711
34,0.16589774790045156,0.18721393674930087,0.0001,18.63257360458374,0.6634761691093445,0.5855045914649963,0.5801067666326414,0.6295992900695336,0.44879743456840515,0.4846991002559662
35,0.16536220509678182,0.1901374029443463,0.0001,18.30208396911621,0.6589072942733765,0.578495979309082,0.5840314763189295,0.6348998177340509,0.4537981152534485,0.48960962891578674
36,0.1654550553172621,0.18631902313688906,0.0001,18.604604482650757,0.6655435562133789,0.5885995626449585,0.5783221192285001,0.6272443291159568,0.44919902086257935,0.48523029685020447
